D H X Y Z date
     1902-01-01
     1902-01-02
     1902-01-03
     1902-01-04
     1902-01-05
     1902-01-06
     1902-01-07
     1902-01-08
     1902-01-09
     1902-01-10
     1902-01-11
     1902-01-12
     1902-01-13
     1902-01-14
     1902-01-15
     1902-01-16
     1902-01-17
     1902-01-18
     1902-01-19
     1902-01-20
     1902-01-21
     1902-01-22
     1902-01-23
     1902-01-24
     1902-01-25
     1902-01-26
     1902-01-27
     1902-01-28
     1902-01-29
     1902-01-30
     1902-01-31
     1902-02-01
     1902-02-02
     1902-02-03
     1902-02-04
     1902-02-05
     1902-02-06
     1902-02-07
     1902-02-08
     1902-02-09
     1902-02-10
     1902-02-11
     1902-02-12
     1902-02-13
     1902-02-14
     1902-02-15
     1902-02-16
     1902-02-17
     1902-02-18
     1902-02-19
     1902-02-20
     1902-02-21
     1902-02-22
     1902-02-23
     1902-02-24
     1902-02-25
     1902-02-26
     1902-02-27
     1902-02-28
     1902-03-01
  13422.491342721596 7872.829679001305 55744.0 1918-09-01
  13426.761005471646 7885.311021256299 55760.0 1918-09-02
  13422.61292415882 7876.574844956697 55761.0 1918-09-03
  13402.387839795592 7871.521402606944 55713.0 1918-09-04
  13420.429780773407 7876.343409179811 55745.0 1918-09-05
  13420.429780773407 7876.343409179811 55757.0 1918-09-06
  13417.046566764424 7880.130800010555 55759.0 1918-09-07
  13416.642683966002 7878.843829571795 55758.0 1918-09-08
  13429.521825517193 7888.508638390234 55769.0 1918-09-09
  13428.485591048098 7886.323841373344 55767.0 1918-09-10
  13431.237619220286 7881.635935263808 55770.0 1918-09-11
  13432.503941619807 7883.429638067962 55767.0 1918-09-12
  13416.651958691591 7886.724238829267 55758.0 1918-09-13
  13425.446125917697 7893.470233052223 55748.0 1918-09-14
  13432.393665039634 7887.568029969892 55771.0 1918-09-15
  13425.766175680816 7873.1758900678 55776.0 1918-09-16
  13397.45695915901 7875.965212434718 55749.0 1918-09-17
  13443.771116766638 7887.93934814354 55775.0 1918-09-18
  13400.136086904471 7865.4813490618935 55710.0 1918-09-19
  13391.651450640313 7872.028164619535 55720.0 1918-09-20
  13229.703595582625 7819.869997194848 55686.0 1918-09-21
  13405.661675335825 7871.870873333244 55751.0 1918-09-22
  13409.973286578374 7874.4026727907685 55749.0 1918-09-23
  13405.499493700485 7878.069834952977 55719.0 1918-09-24
  13421.804257616674 7874.000982361061 55745.0 1918-09-25
